,Total_Experience,Relevant_experience,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,PG_Specialization,PHD_Specialization,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Certifications,International_degree_any,Expected_CTC
4047,3,0,Marketing,Sales Execituve,Automobile,N,Consultant,Grad,Psychology,Psychology,Did not do PHD,592519,0,A,2,0,0,740648
4048,25,19,Sales,Senior Researcher,Insurance,P,Data Analyst,PG,Botony,Botony,Did not do PHD,3240352,0,C,5,1,0,3875460
4049,9,3,Education,Bio statistician,Retail,J,Research Scientist,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1733715,0,C,6,3,0,1993772
4050,10,10,Top Management,Project Manager,Telecom,A,Network Engineer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1244288,0,B,4,2,0,1555360
4051,5,1,HR,Bio statistician,FMCG,H,Others,PG,Sociology,Others,Did not do PHD,936492,0,C,2,1,0,1120044
4052,24,24,IT-Software,Bio statistician,Training,H,Research Analyst,PG,Chemistry,Chemistry,Did not do PHD,2510377,0,A,3,1,0,3263490
4053,18,11,Education,Head,Aviation,L,Marketing Manager,PG,Psychology,Psychology,Did not do PHD,1804814,0,D,5,0,1,2158557
4054,21,12,Marketing,Consultant,Analytics,H,Marketing Manager,PG,Economics,Economics,Did not do PHD,3264037,0,A,5,0,0,4243248
4055,19,2,Education,Business Analyst,IT,N,Research Analyst,Grad,Others,Sociology,Did not do PHD,2496122,1,B,3,0,0,3195036
4056,17,4,Top Management,Senior Analyst,Automobile,K,CA,Doctorate,Economics,Economics,Economics,3456993,0,A,2,0,0,4666940
4057,11,6,HR,Bio statistician,Others,K,HR,Doctorate,Psychology,Psychology,Psychology,2325294,0,D,5,0,0,2888015
4058,4,3,HR,Associate,Telecom,F,Product Manager,Doctorate,Engineering,Engineering,Engineering,1265101,0,C,3,0,0,1571255
4059,22,15,Engineering,CEO,Telecom,E,Product Manager,PG,Botony,Others,Did not do PHD,2405703,0,B,5,0,1,3127413
4060,20,9,Others,Senior Researcher,Insurance,A,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2620495,0,B,4,3,0,3275618
4061,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,0,0,Fresher,0,2,0,357269
4062,23,5,Others,Analyst,FMCG,N,Consultant,Grad,Psychology,Psychology,Did not do PHD,2474298,0,C,2,0,0,2845442
4064,8,8,Healthcare,Financial Analyst,Automobile,N,Sr.Manager,PG,Others,Engineering,Did not do PHD,1202122,0,B,6,1,0,1562758
4065,13,12,Banking,Sales Execituve,Automobile,M,Software Developer,PG,Statistics,Statistics,Did not do PHD,1775637,1,Key_Performer,4,1,0,2343840
4066,5,0,Banking,Consultant,Others,I,Research Analyst,PG,Zoology,Zoology,Did not do PHD,966410,0,D,6,0,0,1155826
4067,16,7,Analytics/BI,Financial Analyst,Aviation,P,Manager,Doctorate,Chemistry,Chemistry,Chemistry,3011901,0,A,4,0,0,4066066
4068,13,7,Healthcare,Analyst,Aviation,J,Data Analyst,Doctorate,Engineering,Others,Arts,1722203,0,C,3,0,0,2138976
4069,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,0,0,Fresher,0,2,0,302923
4071,25,19,IT-Software,Financial Analyst,Automobile,O,Others,PG,Mathematics,Mathematics,Did not do PHD,2929173,0,D,6,1,0,3503290
4072,21,18,Top Management,Bio statistician,Automobile,C,Medical Officer,Doctorate,Botony,Botony,Botony,2667825,0,D,2,0,0,3313438
4074,12,6,Education,Senior Researcher,Others,M,HR,Doctorate,Psychology,Psychology,Others,1839520,0,A,2,0,0,2483352
4075,5,5,Marketing,Analyst,Insurance,D,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,466979,0,C,2,0,0,537025
4076,16,11,Education,Financial Analyst,Aviation,F,Marketing Manager,PG,Engineering,Engineering,Did not do PHD,1962463,1,Key_Performer,3,0,0,2590451
4077,21,20,Banking,Others,Telecom,B,Network Engineer,PG,Economics,Economics,Did not do PHD,2689789,1,D,5,1,0,3266479
4078,19,7,Analytics/BI,Scientist,Others,H,Marketing Manager,Doctorate,Chemistry,Chemistry,Chemistry,2226988,1,C,5,0,0,2868360
4079,6,2,Analytics/BI,Consultant,BFSI,N,Manager,PG,Chemistry,Chemistry,Did not do PHD,1169982,1,Key_Performer,1,1,0,1606151
4080,17,10,Top Management,Sales Execituve,IT,J,Marketing Manager,Grad,Sociology,Others,Did not do PHD,2447565,0,B,5,0,0,3059456
4081,21,21,Healthcare,Head,Insurance,E,Research Scientist,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2470515,0,D,2,0,1,2841092
4082,22,20,Analytics/BI,Others,Training,E,Medical Officer,PG,Zoology,Zoology,Did not do PHD,2729354,0,A,2,1,0,3548160
4083,1,1,Banking,Scientist,IT,F,Sr.Manager,Doctorate,Others,Mathematics,Engineering,586903,1,B,3,0,0,762973
4084,6,1,Banking,Sales Execituve,Insurance,H,Marketing Manager,PG,Others,Mathematics,Did not do PHD,1329221,1,A,3,1,0,1824754
4085,6,4,HR,Business Analyst,Analytics,J,Director,Grad,Mathematics,Mathematics,Did not do PHD,1494486,0,D,4,0,0,1718658
4086,13,10,Analytics/BI,Data scientist,Training,J,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1630670,0,D,5,0,1,1875270
4087,24,19,Top Management,Others,BFSI,B,Marketing Manager,PG,Engineering,Engineering,Did not do PHD,3000172,1,Key_Performer,3,1,0,3960227
4088,18,9,Sales,Others,FMCG,G,Marketing Manager,PG,Botony,Botony,Did not do PHD,2955747,0,D,3,1,0,3535073
4089,23,1,Others,Business Analyst,Aviation,A,Sr.Manager,PG,Chemistry,Chemistry,Did not do PHD,3001039,0,B,3,1,0,3901350
4090,1,1,Education,Others,Insurance,F,Product Manager,PG,Mathematics,Mathematics,Did not do PHD,679148,0,C,1,0,0,799764
4091,14,4,Analytics/BI,Consultant,Aviation,P,Data Analyst,PG,Arts,Arts,Did not do PHD,2317657,0,A,4,1,0,3012954
4092,15,5,Others,Senior Researcher,Others,A,Product Manager,PG,Botony,Botony,Did not do PHD,2256203,0,C,6,1,0,2698418
4094,5,5,Others,Project Manager,Automobile,N,Software Developer,PG,Chemistry,Chemistry,Did not do PHD,981743,1,C,2,0,0,1192228
4096,9,5,Engineering,Business Analyst,Aviation,L,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,982417,0,D,6,1,0,1129779
4097,25,11,Top Management,Bio statistician,Analytics,J,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1633170,0,A,5,4,0,2041462
4098,18,16,Healthcare,Senior Researcher,BFSI,I,HR,Doctorate,Botony,Botony,Botony,2458480,0,A,2,0,0,3318948
4099,20,10,Engineering,Consultant,Telecom,I,Others,PG,Psychology,Psychology,Did not do PHD,3091651,0,D,4,1,0,3697614
4100,2,1,Analytics/BI,Data scientist,BFSI,F,Consultant,Doctorate,Botony,Botony,Botony,756990,1,B,2,0,1,984087
4101,17,13,Others,Scientist,Others,E,CA,Grad,Mathematics,Mathematics,Did not do PHD,2400455,0,D,2,0,0,2760523
4102,23,11,Education,Analyst,Others,J,Consultant,PG,Botony,Botony,Did not do PHD,1670939,1,Key_Performer,3,1,0,2205639
4103,25,8,HR,Business Analyst,Aviation,L,Network Engineer,Grad,Others,Zoology,Did not do PHD,2573008,1,Key_Performer,4,1,0,3293450
4104,15,2,Analytics/BI,Consultant,Insurance,J,Product Manager,Doctorate,Economics,Economics,Economics,1510148,1,D,3,0,0,1945070
4105,22,10,IT-Software,Others,IT,E,Assistant Manager,Doctorate,Engineering,Engineering,Engineering,3993425,0,D,4,0,0,4959833
4106,1,1,Engineering,Analyst,Automobile,P,Product Manager,Doctorate,Arts,Arts,Arts,878844,0,C,2,0,0,1010670
4108,12,1,Healthcare,Sales Execituve,Aviation,E,Research Scientist,Grad,Zoology,Zoology,Did not do PHD,2068908,0,Key_Performer,4,0,0,2586135
4109,23,12,Education,Project Manager,BFSI,N,Software Developer,PG,Mathematics,Mathematics,Did not do PHD,2466704,0,C,5,1,0,2950177
4110,11,6,Marketing,Others,Insurance,N,Marketing Manager,Doctorate,Mathematics,Mathematics,Mathematics,2026657,0,C,6,0,0,2517107
4111,6,1,Accounts,Project Manager,Aviation,N,Software Developer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,543850,0,B,1,1,0,679812
4112,19,14,Banking,Business Analyst,Automobile,L,Software Developer,PG,Economics,Economics,Did not do PHD,2570791,0,A,4,1,0,3342028
4114,6,6,Healthcare,Associate,Aviation,D,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,973028,0,A,6,3,0,1264936
4115,17,16,Others,Bio statistician,Aviation,F,Network Engineer,Doctorate,Chemistry,Chemistry,Chemistry,3673377,0,C,2,0,0,4562334
4116,14,13,Education,Sales Manager,BFSI,F,Sr.Manager,Doctorate,Sociology,Sociology,Sociology,1978010,0,A,2,0,0,2670313
4117,7,1,Analytics/BI,Data scientist,Telecom,I,Others,Doctorate,Arts,Arts,Arts,1701354,1,Key_Performer,4,0,1,2477171
4118,4,0,Analytics/BI,Data scientist,Insurance,L,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,559060,0,C,3,1,1,642919
4119,12,3,Marketing,Bio statistician,Others,C,HR,Grad,Statistics,Statistics,Did not do PHD,1977109,1,Key_Performer,2,0,0,2530699
4120,22,19,Top Management,Consultant,Retail,O,Medical Officer,Doctorate,Sociology,Sociology,Others,3814862,0,D,3,0,0,4738058
4121,14,5,Top Management,Sr. Business Analyst,IT,C,Assistant Manager,Doctorate,Statistics,Statistics,Statistics,2039316,0,B,3,0,0,2753076
4122,24,22,Accounts,Head,Analytics,F,Software Developer,Grad,Mathematics,Mathematics,Did not do PHD,1785368,1,A,5,4,0,2285271
4123,1,0,Analytics/BI,Project Manager,Retail,I,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,405108,1,B,2,3,0,526640
4124,10,0,Healthcare,Others,FMCG,G,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1553294,0,B,2,5,0,1941617
4125,22,5,Engineering,Head,Analytics,D,Sr.Manager,Doctorate,Statistics,Statistics,Statistics,2844077,0,C,4,0,1,3532343
4126,19,1,Top Management,Others,Training,L,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1889716,0,A,4,2,0,2362145
4128,18,7,Education,Consultant,Automobile,I,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1831966,0,Key_Performer,4,5,0,2289957
4129,5,4,Marketing,Project Manager,Telecom,A,Assistant Manager,Grad,Arts,Others,Did not do PHD,695620,0,A,3,0,0,904306
4131,2,1,Accounts,Project Manager,Insurance,B,Marketing Manager,PG,Chemistry,Chemistry,Did not do PHD,449302,1,C,2,0,0,545632
4132,7,3,Banking,Others,Automobile,O,Sr.Manager,Grad,Economics,Economics,Did not do PHD,1499076,1,D,2,0,0,1765311
4133,21,8,HR,Others,Telecom,N,Medical Officer,Grad,Arts,Arts,Did not do PHD,2401623,1,Key_Performer,2,0,0,3074077
4134,14,8,Healthcare,Scientist,Aviation,F,Others,Doctorate,Statistics,Statistics,Statistics,2233785,0,A,5,0,0,3015609
4135,7,0,Others,Sales Manager,Analytics,A,Manager,Grad,Chemistry,Chemistry,Did not do PHD,1275385,1,Key_Performer,4,0,0,1697792
4136,3,3,Healthcare,Scientist,Aviation,C,HR,PG,Others,Engineering,Did not do PHD,601039,1,B,3,0,0,793371
4137,3,3,Healthcare,Researcher,IT,P,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,697693,0,C,3,1,0,802346
4139,2,2,Engineering,Scientist,Aviation,H,Assistant Manager,Grad,Statistics,Statistics,Did not do PHD,554773,0,D,3,2,0,637988
4142,6,3,Sales,Consultant,Automobile,N,Consultant,Grad,Chemistry,Chemistry,Did not do PHD,1222516,1,C,6,0,0,1439634
4143,4,0,Others,Team Lead,Aviation,G,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,449625,0,A,6,5,0,584512
4144,3,1,Healthcare,Consultant,Training,M,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,589854,0,D,3,3,0,678332
4145,2,2,Healthcare,Consultant,Retail,K,Marketing Manager,Grad,Botony,Botony,Did not do PHD,489773,0,A,2,0,0,612216
4146,13,4,Accounts,Bio statistician,IT,O,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1311714,0,A,2,2,0,1639642
4147,5,1,Sales,Associate,BFSI,K,Product Manager,Grad,Others,Engineering,Did not do PHD,521151,0,C,6,0,0,599323
4148,23,21,Others,Senior Researcher,Retail,M,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1496737,1,Key_Performer,4,2,0,1945758
4149,16,5,Sales,Consultant,Aviation,G,HR,Grad,Psychology,Did not do PG,Did not do PHD,2484329,0,D,6,0,0,2856978
4151,10,3,Others,CEO,Telecom,N,Web Designer,PG,Statistics,Statistics,Did not do PHD,1843380,1,B,2,1,0,2433261
4152,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,PG,Arts,Arts,Did not do PHD,0,0,Fresher,0,0,0,639363
4153,16,11,Education,Others,Insurance,L,Research Analyst,PG,Psychology,Others,Did not do PHD,2051842,0,D,2,0,0,2454003
4154,20,16,Top Management,Team Lead,Training,K,Data Analyst,Grad,Statistics,Statistics,Did not do PHD,2536763,0,D,6,1,0,2917277
4155,4,0,Analytics/BI,Scientist,Others,D,Network Engineer,Grad,Statistics,Statistics,Did not do PHD,526316,0,C,3,0,0,605263
4157,13,6,Banking,Bio statistician,Others,A,Others,PG,Botony,Others,Did not do PHD,1791535,0,C,4,0,0,2142675
4158,19,10,Analytics/BI,Head,Training,K,Manager,Grad,Mathematics,Mathematics,Did not do PHD,2515439,0,C,5,0,0,2892754
4159,16,2,Analytics/BI,Team Lead,Others,O,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1584135,1,C,5,2,0,1894625
4160,9,3,Banking,Team Lead,Retail,H,Product Manager,PG,Engineering,Engineering,Did not do PHD,1068425,1,Key_Performer,5,0,0,1410321
4161,4,1,HR,Associate,FMCG,B,Product Manager,Grad,Statistics,Statistics,Did not do PHD,536466,0,A,5,0,0,697405
4162,5,1,Marketing,Bio statistician,Training,L,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,635912,0,B,3,2,0,794890
4163,25,9,IT-Software,Sales Manager,Analytics,E,Sr.Manager,Doctorate,Others,Economics,Economics,2897679,0,A,5,0,0,3911866
4164,8,7,Marketing,Sales Manager,BFSI,C,Product Manager,Grad,Zoology,Zoology,Did not do PHD,942057,1,Key_Performer,2,0,0,1254066
4165,10,9,Engineering,Sales Execituve,Others,G,Marketing Manager,Doctorate,Psychology,Psychology,Psychology,1993810,0,C,6,0,0,2476312
4166,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Doctorate,Economics,Economics,Economics,0,0,Fresher,0,0,0,1302695
4168,8,3,Sales,Analyst,FMCG,I,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,684242,0,C,5,3,0,786878
4169,15,4,Sales,Bio statistician,Others,F,Product Manager,PG,Zoology,Zoology,Did not do PHD,1913920,0,C,6,0,0,2289048
4170,4,2,Marketing,Analyst,IT,I,Research Analyst,Grad,Arts,Others,Did not do PHD,625672,0,C,2,1,0,719522
4171,9,6,Healthcare,Senior Researcher,FMCG,H,Product Manager,Grad,Sociology,Sociology,Did not do PHD,1104287,0,A,6,0,0,1380358
4172,4,2,Marketing,Team Lead,Insurance,F,Web Designer,PG,Others,Zoology,Did not do PHD,859638,1,B,2,0,0,1134722
4173,4,4,Marketing,Bio statistician,Automobile,E,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,581592,0,C,2,5,0,668830
4174,19,2,Engineering,CEO,Automobile,N,Sr.Manager,Doctorate,Others,Economics,Economics,2446753,0,A,3,0,1,3303116
4175,14,0,Banking,Analyst,Aviation,F,Research Analyst,Grad,Zoology,Zoology,Did not do PHD,1868255,0,A,4,1,0,2335318
4177,3,3,Accounts,Associate,Retail,I,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,519563,0,C,1,0,0,597497
4178,23,12,Top Management,Team Lead,Analytics,D,Medical Officer,PG,Arts,Arts,Did not do PHD,3168852,1,Key_Performer,3,2,0,4182884
4179,13,8,Marketing,Sales Manager,Training,P,Data Analyst,Grad,Botony,Botony,Did not do PHD,2007201,1,Key_Performer,6,1,0,2569217
4180,9,8,Others,Team Lead,Retail,A,Research Scientist,Grad,Arts,Arts,Did not do PHD,1270931,0,Key_Performer,4,0,0,1588663
4181,15,12,Others,Bio statistician,IT,J,Director,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1551660,0,D,3,3,0,1784409
4182,18,7,Education,Senior Researcher,BFSI,J,Research Scientist,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2246839,0,Key_Performer,6,3,0,2808548
4183,5,5,Accounts,Analyst,Automobile,I,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,450218,1,Key_Performer,4,3,0,608694
4184,10,5,HR,Others,Training,L,Research Analyst,PG,Chemistry,Chemistry,Did not do PHD,2256704,0,D,1,1,0,2699017
4186,9,2,Sales,Financial Analyst,Others,N,HR,PG,Mathematics,Mathematics,Did not do PHD,1352098,1,Key_Performer,4,1,0,1784769
4187,17,1,Marketing,Project Manager,Aviation,E,HR,Doctorate,Arts,Arts,Others,2576137,0,C,3,0,0,3199562
4189,14,3,Banking,Bio statistician,Analytics,C,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1199794,0,B,4,1,0,1499742
4191,16,3,Others,Consultant,FMCG,C,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2146909,0,C,6,2,0,2468945
4192,8,7,Top Management,Team Lead,Others,L,Data Analyst,Grad,Mathematics,Mathematics,Did not do PHD,1305867,1,B,5,0,0,1671509
4193,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,0,0,Fresher,0,0,0,353337
4194,22,9,Others,Senior Researcher,Aviation,J,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2377604,0,Key_Performer,4,0,0,2972005
4196,17,4,Analytics/BI,Data scientist,IT,P,Product Manager,Grad,Botony,Botony,Did not do PHD,2599399,1,Key_Performer,3,0,1,3327230
4197,12,8,IT-Software,Others,Others,E,Software Developer,PG,Economics,Economics,Did not do PHD,1686929,0,D,2,1,0,2017567
4198,23,20,Education,Sales Execituve,Training,B,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2226345,0,C,2,5,0,2560296
4199,6,0,HR,Consultant,Aviation,L,Assistant Manager,Doctorate,Statistics,Statistics,Statistics,2184518,0,D,2,0,0,2713171
4200,20,7,HR,Analyst,Telecom,P,Marketing Manager,PG,Arts,Arts,Did not do PHD,3184564,0,B,3,1,0,4139933
4201,24,10,Top Management,Project Manager,IT,O,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2698011,0,B,5,1,0,3372513
4202,19,14,Others,Bio statistician,Training,D,Data Analyst,PG,Mathematics,Mathematics,Did not do PHD,2960279,0,D,5,2,0,3540493
4203,4,2,Marketing,Associate,Insurance,G,Manager,Doctorate,Sociology,Others,Others,1018571,0,D,2,0,0,1265065
4204,16,13,Education,Others,Training,M,Manager,Grad,Arts,Did not do PG,Did not do PHD,2212694,0,C,2,0,0,2544598
4205,5,5,Sales,Sales Manager,Automobile,L,HR,Grad,Sociology,Sociology,Did not do PHD,623530,0,A,1,0,0,810589
4206,14,12,HR,Others,Retail,J,Research Analyst,Doctorate,Sociology,Sociology,Sociology,2189646,0,D,5,0,0,2719540
4207,5,5,Marketing,Analyst,Analytics,B,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,435167,0,A,5,1,0,565717
4209,8,4,Analytics/BI,Consultant,Automobile,O,Software Developer,Doctorate,Engineering,Engineering,Engineering,1650401,1,Key_Performer,5,0,0,2402983
4210,4,3,Marketing,Analyst,Telecom,C,Sr.Manager,Grad,Mathematics,Mathematics,Did not do PHD,541752,1,D,5,0,0,637967
4213,4,4,Engineering,Associate,Telecom,N,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,523757,1,D,2,0,0,626413
4214,25,2,Engineering,Project Manager,Insurance,O,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2772345,0,Key_Performer,6,3,0,3465431
4215,19,18,Accounts,Head,BFSI,I,Manager,PG,Statistics,Others,Did not do PHD,1534400,1,D,6,2,0,1863375
4216,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,0,0,Fresher,0,3,0,350248
4217,4,1,Healthcare,Financial Analyst,Others,K,CA,PG,Engineering,Engineering,Did not do PHD,1413140,1,Key_Performer,6,1,0,1939958
4218,20,14,Education,Team Lead,Training,M,Manager,Doctorate,Botony,Others,Arts,2630673,0,B,6,0,0,3551408
4219,18,3,Sales,Senior Researcher,Others,N,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1855822,0,B,2,1,0,2319777
4220,23,13,Accounts,Sales Execituve,Automobile,D,Network Engineer,Doctorate,Others,Others,Others,3602079,0,B,3,0,0,4862806
4221,17,6,HR,Team Lead,Insurance,H,Marketing Manager,Grad,Psychology,Psychology,Did not do PHD,2486500,0,A,3,0,0,3108125
4222,17,13,Sales,Consultant,Retail,L,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2519279,1,Key_Performer,4,1,0,3275062
4223,19,18,Engineering,CEO,Retail,P,Research Analyst,Grad,Zoology,Zoology,Did not do PHD,2513657,1,Key_Performer,5,3,1,3217480
4224,16,13,Banking,Sales Manager,IT,J,Marketing Manager,Grad,Botony,Botony,Did not do PHD,2574398,1,Key_Performer,6,0,0,3295229
4225,8,8,Education,Principal Analyst,BFSI,D,HR,PG,Engineering,Engineering,Did not do PHD,1025337,0,D,6,1,0,1226303
4226,24,19,Others,Business Analyst,IT,C,Consultant,PG,Zoology,Zoology,Did not do PHD,2859382,0,C,6,1,0,3419820
4227,5,5,Others,Analyst,Telecom,K,Others,PG,Mathematics,Mathematics,Did not do PHD,852041,1,B,4,0,0,1124694
4228,7,5,Engineering,Analyst,IT,O,Others,Grad,Psychology,Psychology,Did not do PHD,1032443,0,A,3,0,0,1342175
4229,16,16,HR,Sales Manager,Training,F,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2438490,0,D,2,2,0,2804263
4230,19,18,Others,Senior Researcher,FMCG,I,Data Analyst,PG,Sociology,Sociology,Did not do PHD,3212525,0,C,5,1,0,3842179
4231,1,1,Analytics/BI,Project Manager,Telecom,B,HR,Grad,Zoology,Zoology,Did not do PHD,417404,0,C,3,0,0,480014
4232,19,19,Others,Analyst,Analytics,H,Data Analyst,PG,Psychology,Psychology,Did not do PHD,2496433,0,D,5,0,0,2985733
4233,23,8,Marketing,Scientist,BFSI,A,Network Engineer,Doctorate,Mathematics,Mathematics,Mathematics,3979221,1,B,3,0,1,5570909
4234,18,2,Top Management,Bio statistician,Others,F,Assistant Manager,PG,Economics,Economics,Did not do PHD,3257309,0,C,5,0,0,3895741
4235,23,14,Healthcare,Others,Training,N,Research Scientist,PG,Arts,Others,Did not do PHD,2443878,0,D,3,2,0,2922878
4236,17,10,Engineering,CEO,Others,H,Web Designer,Grad,Chemistry,Chemistry,Did not do PHD,2430825,1,A,5,0,1,3111456
4237,15,9,Sales,Business Analyst,Training,I,CA,PG,Mathematics,Mathematics,Did not do PHD,2238291,1,Key_Performer,2,2,0,2954544
4238,5,3,Sales,Sales Execituve,BFSI,A,Software Developer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,562817,1,D,3,1,0,673129
4239,12,0,Banking,Business Analyst,BFSI,D,Marketing Manager,Doctorate,Engineering,Engineering,Engineering,1776189,1,B,3,0,0,2486664
4240,23,10,Banking,Team Lead,Analytics,B,Web Designer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2336457,0,C,2,2,0,2686925
4241,11,2,IT-Software,CEO,Retail,N,Sr.Manager,Grad,Chemistry,Chemistry,Did not do PHD,1926040,1,B,5,0,1,2465331
4242,2,2,Accounts,Business Analyst,BFSI,B,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,419107,0,B,1,4,0,523883
4243,8,0,Top Management,Others,FMCG,A,Manager,PG,Psychology,Psychology,Did not do PHD,1012308,0,A,5,2,0,1368640
4244,17,4,Others,Project Manager,Training,I,HR,PG,Arts,Arts,Did not do PHD,3903463,1,Key_Performer,4,0,0,5152571
4245,2,2,Analytics/BI,Analyst,Training,P,Research Analyst,PG,Arts,Arts,Did not do PHD,530654,0,A,3,1,0,689850
4246,17,7,Engineering,Consultant,IT,J,Others,Grad,Zoology,Zoology,Did not do PHD,2539279,0,C,2,0,0,2920170
4247,3,2,Engineering,Others,Insurance,N,Consultant,PG,Statistics,Statistics,Did not do PHD,749626,0,C,2,0,0,896552
4248,1,1,Education,Associate,Others,I,Manager,Doctorate,Chemistry,Chemistry,Chemistry,762649,1,B,2,0,0,991443
4249,2,1,Healthcare,Scientist,Telecom,C,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,460514,0,B,1,5,1,575642
4250,7,1,IT-Software,Sales Manager,Telecom,E,Sr.Manager,Doctorate,Statistics,Statistics,Statistics,2053061,1,B,2,0,0,2874285
4251,21,6,Marketing,Head,Training,J,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2178277,0,D,4,4,0,2505018
4252,20,8,Healthcare,Scientist,Telecom,E,Software Developer,Doctorate,Others,Statistics,Others,3114469,0,A,3,0,0,4204533
4253,24,14,Analytics/BI,CEO,IT,P,Product Manager,Grad,Others,Others,Did not do PHD,2569967,1,Key_Performer,5,0,1,3289557
4254,1,0,Marketing,Financial Analyst,Aviation,O,Marketing Manager,Doctorate,Chemistry,Chemistry,Chemistry,774186,0,B,1,0,0,967732
4255,20,15,Healthcare,Sales Execituve,Automobile,B,Product Manager,PG,Others,Others,Did not do PHD,2379803,0,C,2,0,0,2846244
4256,15,1,Healthcare,CEO,BFSI,J,Research Analyst,Grad,Others,Sociology,Did not do PHD,1434840,0,D,4,0,1,1650066
4257,23,22,Banking,Project Manager,IT,D,Web Designer,Grad,Chemistry,Chemistry,Did not do PHD,2429572,0,B,5,4,0,3036965
4258,3,0,Marketing,Others,Telecom,F,Network Engineer,Doctorate,Mathematics,Mathematics,Mathematics,1196789,0,D,3,0,0,1486411
4259,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,0,0,Fresher,0,3,0,382700
4260,4,2,Banking,Business Analyst,Analytics,H,Assistant Manager,Grad,Zoology,Did not do PG,Did not do PHD,618438,0,C,5,0,0,711203
4261,15,15,Marketing,Bio statistician,Analytics,D,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1554124,1,A,3,1,0,2020361
4263,3,2,HR,Others,Others,D,Medical Officer,Grad,Chemistry,Chemistry,Did not do PHD,647935,0,C,2,0,0,745125
4264,15,15,Accounts,Others,Insurance,P,Data Analyst,PG,Mathematics,Mathematics,Did not do PHD,1725232,0,D,4,1,0,2063377
